                Time     Luminosity_Ratio     Variable_Star_DN      Variable_Sky_DN   Comparison_Star_DN    Comparison_Sky_DN 
            0.001970             2.347064          9445.020905           968.779565          5033.906064          1422.482986 
            0.001980             1.992985         10025.421918           349.253822          5663.747063           808.633686 
            0.001990             1.654538          9270.332957           712.729270          5352.824488           180.623798 
            0.002000             2.131020          9504.654073          1954.710532          4803.918577          1261.040071 
            0.002010             1.727016          9067.690054          1536.667989          5194.311350           833.597827 
            0.002020             1.621539          9661.702322          1190.649129          5811.090426           587.008271 
            0.002030             2.338825         10571.337016          1011.078219          5526.352733          1438.718833 
            0.002040             1.673804          9441.541795          1870.296335          5300.271615           776.894436 
            0.002050             1.747455         10302.285836            96.072268          5898.495437            57.878353 
            0.002060             3.260215         10525.498215          1348.551897          4011.597034          1196.768090 
            0.002070             2.056982          9404.553362          1633.289590          4965.605640          1187.612537 
            0.002080             2.530040         10041.596728           389.233070          5208.166753          1393.063143 
            0.002090             1.999074          9230.842006          1588.061159          4761.253700           938.093204 
            0.002100             1.734080          9026.062807          1782.403027          4824.732200           647.495956 
            0.002110             2.564669         10678.579058          1041.718802          4721.030305           963.484603 
            0.002120             1.754786         10634.022034          1711.294900          5366.191595           281.395917 
            0.002130             1.933193          9275.582141           933.744316          5456.221198          1141.163366 
            0.002140             1.698752         10100.253304          1869.624928          5555.833613           710.730308 
            0.002150             2.583752         10016.510514          1554.124577          4276.802881          1001.571703 
            0.002160             2.257577         10450.483718           328.867458          5733.939634          1250.541704 
            0.002170             2.052058          9948.332163           785.058138          4465.407270             0.000000 
            0.002180             2.030754          9962.065493          1155.491806          5006.195257           669.591357 
            0.002190             2.188746         10506.515702          1093.844417          4300.485244             0.000000 
            0.002200             2.357554          9374.950407           777.794733          4142.155217           495.513779 
            0.002210             1.428301          9600.848415          1274.269845          5829.706717             0.000000 
            0.002220             3.090596         10852.900784          1103.427229          4223.517563          1068.956572 
            0.002230             1.853764          9451.429792           939.542833          5393.414106           801.736503 
            0.002240             1.982681         10693.838313          1386.455885          5042.756432           348.414563 
            0.002250             1.549307         10174.718467          1764.030885          5898.312326           469.634083 
            0.002260             2.363068          9791.405988           844.569231          5251.442000          1465.330973 
            0.002270             1.676232          9119.083224          1475.569933          4840.357677           280.419324 
            0.002280             3.039435          9845.606861            26.367992          4258.613849          1028.000732 
            0.002290             2.520255          9951.384014           597.552416          4078.981903           367.519150 
            0.002300             1.472207          9323.740349           928.312021          5879.634999           177.022614 
            0.002310             1.714067          9492.080447          1941.465499          5359.843745           954.756310 
            0.002320             1.367670          9171.391949          1862.117374          5733.878597           389.553514 
            0.002330             1.871155         10302.102725           848.536637          5588.488418           536.225471 
            0.002340             2.110544         10273.354289          1071.810053          4393.871883            34.073916 
            0.002350             1.750341          9017.822810           182.439650          5853.877377           806.070132 
            0.002360             2.232658         10664.601581          1101.107822          4283.455916             0.000000 
            0.002370             2.683067         10437.971129            71.108127          4201.727348           337.916196 
            0.002380             2.044056         10491.012299          1910.336619          4326.181829           128.315073 
            0.002390             2.850478          9358.653523           399.182104          4158.024842          1014.877773 
            0.002400             3.239512         10720.755638           743.736076          4343.760491          1263.969848 
            0.002410             2.665210         10160.008545            49.867244          5002.410962          1209.036531 
            0.002420             1.701917          9604.754784           746.910001          5204.626606             0.000000 
            0.002430             1.596104         10141.697439           897.671438          5791.619617             0.000000 
            0.002440             2.454070         10887.997070           333.445235          4722.067934           421.231727 
            0.002450             2.130022         10609.057894           549.943541          5132.847072           410.306101 
            0.002460             2.065405          9770.104068          1302.774133          5303.140355          1203.543199 
            0.002470             1.671678          9708.883938          1839.594714          4707.419050             0.000000 
            0.002480             2.073345         10616.687521          1706.656087          5346.720786          1049.302652 
            0.002490             2.109929          9015.625477          1066.866054          4543.900876           776.589251 
            0.002500             3.019189         10419.904172          1466.963713          4391.979736          1426.633503 
            0.002510             2.391817          9867.091891           991.851558          4041.810358           331.141087 
            0.002520             3.591994         10009.552293           742.576373          4017.151402          1437.253945 
            0.002530             2.074321          9450.392163           576.555681          4745.017853           467.070528 
            0.002540             1.775462          9014.099551          1046.601764          4487.563707             0.000000 
            0.002550             2.376896         10637.989441          1477.034822          4864.894559          1010.727256 
            0.002560             1.838837         10571.642201          1113.559374          5154.210028            10.696738 
            0.002570             1.712665          9573.564867          1285.561693          5554.246651           715.002899 
            0.002580             2.422538          9790.429395          1516.708884          4602.191229          1186.880093 
            0.002590             2.000751          9007.995849          1523.056734          4930.204169          1189.138462 
            0.002600             2.862742          9960.417493            34.913175          4549.333171          1082.201605 
            0.002610             1.539707          9385.326701           380.809961          5848.200934             0.000000 
            0.002620             1.857118         10513.595996          1770.256661          5494.369335           786.355174 
            0.002630             1.744763          9678.609577           213.324381          5424.970244             0.000000 
            0.002640             3.050368         10735.526597            14.831996          4115.359966           600.802637 
            0.002650             1.900670          9975.798822          1779.839473          4312.143315             0.000000 
            0.002660             1.923379          9225.775933          1868.282113          4418.530839           593.234046 
            0.002670             1.499851          9815.942869          1236.854152          5719.962157             0.000000 
            0.002680             1.834362          9109.134190           604.571673          4636.249886             0.000000 
            0.002690             2.003657         10274.819178          1880.367443          4189.947203             0.381481 
            0.002700             2.008178         10996.520890           789.635914          5875.667592           793.008209 
            0.002710             2.912000          9801.049837           637.897885          4119.449446           972.762230 
            0.002720             3.123012          9695.699942           148.197882          4516.922514          1459.776605 
            0.002730             2.104877          9802.026429          1310.831019          4034.058657             0.000000 
            0.002740             2.405069         10672.658467           181.279946          4362.193670             0.000000 
            0.002750             2.041235          9979.827265           566.362499          4611.651967             0.000000 
            0.002760             2.237395         10262.062441          1533.066805          4533.402509           631.992553 
            0.002770             2.666751          9417.004913           680.013428          4455.458235          1179.189428 
            0.002780             2.266948          9628.376110           108.157598          5121.189001           921.613208 
            0.002790             2.008876          9412.976470          1027.558214          5617.969298          1443.784906 
            0.002800             2.695367         10477.156896          1939.085055          4582.903531          1415.219581 
            0.002810             2.747838         10069.246498           327.280496          4873.744926          1328.424940 
            0.002820             2.106139         10515.366070           803.003021          4891.506699           280.053102 
            0.002830             1.993627         10626.087222          1632.251961          4743.552965           232.261116 
            0.002840             2.374893         10662.648396           589.373455          4433.668020           192.098758 
            0.002850             2.220588          9547.929319            72.328867          4267.159032             0.000000 
            0.002860             2.248363         10012.298959           416.699728          4658.284249           390.469069 
            0.002870             1.655952         10359.599597          1346.720786          5527.268288            84.551531 
            0.002880             3.355489         10542.222358           500.076296          4474.990081          1482.238227 
            0.002890             1.773315          9232.123783           965.483566          5922.544023          1260.856960 
            0.002900             2.586220          9575.579089           768.089846          4402.539140           996.993927 
            0.002910             3.178549         10318.765831           242.561113          4191.351054          1021.286660 
            0.002920             2.185166          9992.095706           230.170598          4467.360454             0.000000 
            0.002930             2.342446         10840.815455          1037.385174          4185.125278             0.000000 
            0.002940             1.733586         10188.756981          1093.844417          5851.680044           605.380413 
            0.002950             2.390293          9923.673208          1247.108371          4391.796625           761.879330 
            0.002960             2.379637          9790.795618          1631.641591          4292.245247           863.505966 
            0.002970             1.826876          9182.683798          1049.165319          5209.143345           756.996368 
            0.002980             1.464054          9112.674337          1798.638874          5228.858303           233.115635 
            0.002990             1.304644          9059.266945          1893.002106          5968.260750           475.371563 
            0.003000             2.051327         10369.121372          1599.414045          4702.352977           427.213355 
            0.003010             1.868595         10906.552324           242.439039          5707.022309             0.000000 
            0.003020             3.667548         10635.792108           205.267495          4003.540147          1159.535508 
            0.003030             2.083203         10825.373089            68.178350          5693.655202           529.877621 
            0.003040             2.798995         10560.350352          1821.466720          4071.352275           949.201941 
            0.003050             1.734396          9250.618000            89.419233          5700.003052           417.935728 
            0.003060             2.118317         10823.541978           304.330576          5641.346477           675.511948 
            0.003070             2.252672         10286.599322          1766.533403          4024.842067           242.637410 
            0.003080             1.909235         10349.894711           528.641621          5144.077883             0.000000 
            0.003090             2.040838         10793.389691            42.664876          5267.799921             0.000000 
            0.003100             2.242769         10268.898587           504.531999          4353.709525             0.000000 
            0.003110             1.432905          9222.418897           836.817530          5852.168340             0.000000 
            0.003120             2.098816          9625.629444           244.880520          5786.431471          1316.888943 
            0.003130             1.693271         10202.917570          1285.195471          5298.806726            32.242805 
            0.003140             2.034405         10842.219306          1382.427442          5848.506119          1198.599200 
            0.003150             2.479465         10877.254555           733.787042          5249.427778          1158.436842 
            0.003160             1.637392         10927.976318          1536.973174          5735.343486             0.000000 
            0.003170             2.545142         10987.243263           480.483413          4239.936522           111.774041 
            0.003180             2.586278         10441.084017          1432.599872          4079.409162           596.224860 
            0.003190             3.822396         10710.074160           267.281106          4224.188971          1492.187262 
            0.003200             1.763799         10199.255348           764.732810          5348.979156             0.000000 
            0.003210             2.042088         10244.178594          1522.568438          4846.888638           575.960570 
            0.003220             1.738712          9740.562151           817.529832          5996.398816           864.421522 
            0.003230             1.845653          9145.023957          1352.946562          5467.574084          1245.719779 
            0.003240             1.768287          9534.501175          1830.927458          4356.517228             0.000000 
            0.003250             1.905678          9411.389508          1285.866878          4933.683279           669.835505 
            0.003260             2.287404         10942.991424          1117.770928          4295.358135             0.000000 
            0.003270             2.186578         10321.024201           761.558885          5104.281747           732.398450 
            0.003280             1.792930          9930.997650          1931.211280          4608.233894           146.382031 
            0.003290             1.954048          9016.479995          1375.286111          4123.111667           212.668233 
            0.003300             2.910213         10527.939695          1081.759087          4168.401135           922.528764 
            0.003310             1.648501         10841.608936          1869.563890          5442.548906             0.000000 
            0.003320             1.895646         10038.239692          1304.422132          4825.525681           218.222602 
            0.003330             2.324260          9426.770837          1876.277963          4596.514786          1347.956786 
            0.003340             3.369287         10002.471999           375.988037          4053.773614          1196.646016 
            0.003350             2.214051         10525.437178           408.825953          5724.356822          1155.079806 
            0.003360             2.134734         10908.261361           982.207709          5350.810266           701.025422 
            0.003370             1.530499          9599.505600          1104.647969          5843.806269           293.420209 
            0.003380             2.605311         10651.051363          1334.879604          4385.692923           809.854427 
            0.003390             2.285595          9155.827509           216.742454          4875.026704           963.972900 
            0.003400             2.717146         10745.292520           539.139988          4897.671438          1141.468551 
            0.003410             1.960687          9831.690420          1356.730857          5413.495285          1091.051973 
            0.003420             2.203834         10285.256508           710.715049          4344.492935             0.000000 
            0.003430             1.938278          9231.025117           986.114078          4253.730888             0.000000 
            0.003440             1.473914          9655.903806          1842.951750          5300.820948             0.000000 
            0.003450             2.287831         10510.299997           659.260842          5662.709433          1356.868191 
            0.003460             1.923438          9994.170965          1423.932615          4606.646931           150.959807 
            0.003470             2.797332         10714.224677            15.137181          4403.149510           578.402051 
            0.003480             2.952839         10399.273659           804.101688          4265.877255          1016.403699 
            0.003490             2.310720         10861.995300           519.608142          4507.156590            31.327250 
            0.003500             2.908745         10894.222846           312.814722          4094.668416           456.877346 
            0.003510             1.535203          9783.104953          1957.701346          5799.493393           702.185125 
            0.003520             1.944331          9136.478774          1126.194037          4119.815668             0.000000 
            0.003530             2.638948          9703.390606          1675.527207          4171.086764          1129.016999 
